slug,nameEn,descriptionEn,descriptionBn,descriptionAr
"bosidin-usb-rechargeable-electric-bakhoor-burner","Bakhoor BoSidin USB-Rechargeable Electric Burner","The BoSidin Bakhoor USB-rechargeable electric burner is made to warm bakhoor and other fragrance materials without an open flame. Operate it in a well-ventilated space and keep the hot unit away from children, clothing and any flammable objects. Follow the manufacturer’s instructions for suitable fragrance materials and charging. Verify specifications and seller details before purchase; Jafory does not sell this item.","BoSidin Bakhoor USB-রিচার্জেবল ইলেকট্রিক বর্ণারটি বাকুর ও অন্যান্য সুগন্ধি উপকরণ গরম করার জন্য, খোলা আগুন ছাড়া কাজ করে। এটি ভালো বায়ুচলাচলের জায়গায় ব্যবহার করুন এবং গরম ডিভাইসটি শিশু, পোশাক বা দাহ্য সামগ্রীর থেকে দূরে রাখুন। উপকরণ ও চার্জিংয়ের জন্য নির্মাতার নির্দেশনা অনুসরণ করুন। ক্রয়ের আগে স্পেসিফিকেশন ও বিক্রেতার তথ্য যাচাই করুন; Jafory এটি বিক্রি করে না।","جهاز BoSidin لحرق البخور كهربائي وقابل لإعادة الشحن عبر USB، مخصص لتسخين البخور والمواد العطرية دون لهب مكشوف. استخدمه في مكان جيد التهوية وابعده عن الأطفال والملابس والمواد القابلة للاشتعال عندما يكون ساخنًا. اتبع تعليمات الشركة المصنعة بشأن المواد العطرية والشحن. تحقق من المواصفات ومعلومات البائع قبل الشراء؛ Jafory لا يبيع هذا المنتج."
"cerave-foaming-cleanser","CeraVe Foaming Facial Cleanser","A Jafory guide to CeraVe Foaming Facial Cleanser. This is a foaming facial cleanser meant to remove surface dirt, oil and makeup from the face. Product formulation, specifications and availability can vary by country and retailer. Jafory does not sell this item; verify the manufacturer’s official page or an authorised seller before using any affiliate link.","Jafory-এর রিসার্চ লিস্টিং: CeraVe Foaming Facial Cleanser। এটি একটি ফোমযুক্ত মুখ ধোয়ার প্রোডাক্ট যা ত্বকের উপরি ময়লা, তেল ও মেকআপ সরাতে ব্যবহৃত হয়। পণ্যের উপাদান, বিবরণ ও পাওয়া যাওয়ার সুবিধা দেশ ও বিক্রেতা অনুযায়ী পরিবর্তিত হতে পারে। Jafory এটি বিক্রি করে না; অ্যাফিলিয়েট লিঙ্ক ব্যবহারের আগে নির্মাতার অফিসিয়াল বা অনুমোদিত বিক্রেতা যাচাই করুন।","دليل من Jafory لمنتج CeraVe Foaming Facial Cleanser. هذا منتج رغوي لتنظيف الوجه يُستخدم لإزالة الأوساخ السطحية والزيوت والمكياج. قد تختلف مكونات المنتج وتفاصيله وتوفره بحسب البلد والبائع. Jafory لا تبيع هذا المنتج؛ تحقق من صفحة الشركة المصنعة الرسمية أو بائع معتمد قبل استخدام أي رابط تابع."
"cerave-moisturizing-cream","CeraVe Moisturizing Cream","CeraVe Moisturizing Cream is a skincare moisturizer sold under the CeraVe name, presented for general face and body use to add and retain moisture. Jafory lists product details here; availability and merchant options can vary by country — Jafory does not sell this item. Verify the official or authorised seller page before using any affiliate destination.","CeraVe Moisturizing Cream একটি ত্বক-আর্দ্রক পণ্য, যা মুখ ও দেহে ব্যবহার করে ত্বকের আর্দ্রতা বজায় রাখতে প্রচলিত। Jafory এখানে পণ্যের তথ্য তালিকাভুক্ত করেছে; দেশভিত্তিক বিবরণ ও স্টক ভিন্ন হতে পারে — জাফরি এই পণ্য বিক্রি করে না। affiliate গন্তব্য ব্যবহারের আগে official বা authorised seller পেজ যাচাই করুন।","CeraVe Moisturizing Cream منتج مرطب من علامة CeraVe، معروض للاستخدام العام على الوجه والجسم لتوفير الترطيب والحفاظ عليه. تُدرج Jafory معلومات المنتج هنا؛ قد تختلف التفاصيل وتوفره حسب البلد — جافوري لا تبيع هذا المنتج. تحقق من الصفحة الرسمية أو البائع المعتمد قبل استخدام أي رابط تابع."
"colgate-plax-mouthwash","Colgate Plax Mouthwash","Colgate Plax Mouthwash is an over-the-counter oral rinse intended for use as part of daily oral care. It’s offered in different formulations and pack sizes and can provide a temporary feeling of freshness. Product specifications, formulation and seller availability may vary by country. Verify the product details and the official or authorised seller page before following an affiliate link.","Colgate Plax Mouthwash হল একটি ওভার-দ্য-কাউন্টার মাউথওয়াশ, দৈনন্দিন মুখের পরিচর্যার অংশ হিসেবে ব্যবহার করার জন্য ডিজাইন করা। এটি বিভিন্ন ফর্মুলা ও প্যাক সাইজে পাওয়া যায় এবং অস্থায়ী সতেজতার অনুভূতি দিতে পারে। পণ্যের বিবরণ, রূপ এবং বিক্রেতা অনুযায়ী দেশে দেশে ভিন্ন হতে পারে—affiliate লিংক ব্যবহার করার আগে official বা অনুমোদিত বিক্রেতার পেজ যাচাই করুন।","Colgate Plax Mouthwash غسول فموي متاح دون وصفة طبية ومصمَّم للاستخدام كجزء من روتين العناية الفموية اليومي. يتوفر بأشكال وتعبئات مختلفة وقد يمنح إحساسًا مؤقتًا بالانتعاش. مواصفات المنتج وتوافره لدى البائعين تختلف بين البلدان. تحقق من تفاصيل المنتج وصفحة البائع الرسمية أو المعتمدَة قبل اتباع أي رابط إحالة."
"colgate-total-whitening","Colgate Total Whitening Toothpaste","Colgate Total Whitening Toothpaste is a Colgate-branded toothpaste presented for whitening as part of daily oral care. Use for routine brushing following package directions. Formulation, availability and merchant offers may vary by country. Jafory lists this product for discovery only and does not sell it — verify the official or authorised seller page before buying.","Colgate Total Whitening Toothpaste হলো কোলগেট ব্র্যান্ডের হোয়াইটনিং টুথপেস্ট, যা দৈনন্দিন ওরাল কেয়ার অংশ হিসেবে ব্যবহারের জন্য বাজারজাত। প্যাকেটের নির্দেশনা মেনে রুটিন ব্রাশিংয়ের জন্য ব্যবহার করুন। দেশে দেশে ফর্মুলা ও বিক্রেতার প্রাপ্যতা ভিন্ন হতে পারে। Jafory শুধুমাত্র অনুসন্ধানের জন্য তালিকা দেয়; কেনার আগে অফিসিয়াল বা অনুমোদিত বিক্রেতার পেজ যাচাই করুন।","معجون الأسنان Colgate Total Whitening Toothpaste هو منتج من علامة كولجيت مصنَّف كمُبيّض للاستخدام اليومي ضمن روتين العناية بالفم. استخدم للفرشاة الاعتيادية مع الالتزام بتعليمات العبوة. قد تختلف التركيبة وتوافر التجار حسب البلد. جافوري تعرض المنتج للاكتشاف فقط ولا تبيعه — تحقق من الصفحة الرسمية أو بائع معتمد قبل الشراء."
"crocs-classic-clog","Crocs Classic Clog","Jafory listing for the Crocs Classic Clog — a slip-on, clog-style casual shoe intended for easy on/off wear and everyday use. This entry shows merchant options and availability, which can vary by country and retailer. Jafory does not sell this item. Verify the brand’s official page or an authorised seller before using any affiliate destination.","Jafory-এর তালিকা: Crocs Classic Clog—সহজে পরা-ও নামানো যায় এমন ক্লগ-স্টাইল ক্যাজুয়াল জুতো, দৈনন্দিন ব্যবহারের জন্য উপযোগী। এখানে পণ্য ও বিক্রেতা অনুযায়ী উপলব্ধতা দেখানো হয়েছে, যা দেশে ভিন্ন হতে পারে। Jafory এই পণ্য বিক্রি করে না। অ্যাফিলিয়েট লিঙ্ক ব্যবহারের আগে ব্র্যান্ডের অফিসিয়াল বা অনুমোদিত বিক্রেতার পেজ যাচাই করুন।","قائمة Jafory لمنتج Crocs Classic Clog — حذاء كلوغ غير رسمي يسهل ارتداؤه وخلعه، مناسب للاستخدام اليومي. تُعرض هنا خيارات البائع وتوفر المنتج، والتي قد تختلف بحسب البلد والتاجر. Jafory لا تبيع هذا المنتج. قبل استخدام أي رابط تابع، تحقّق من صفحة العلامة التجارية الرسمية أو من بائع معتمد."
"dettol-antiseptic-liquid","Dettol Antiseptic Liquid","Dettol Antiseptic Liquid is a multipurpose hygiene liquid commonly used for cleaning skin and disinfecting household surfaces. Pack formats and availability vary by market; follow label directions for safe use. This listing summarizes product identity and category only — Jafory does not sell it. Product details and merchant availability can change by country; check the official or authorised seller page before using an affiliate link.","Dettol Antiseptic Liquid একটি বহুমুখী হাইজিন লিকুইড, সাধারণত ত্বক পরিষ্কার ও গৃহস্থালি পৃষ্ঠ জীবাণুমুক্ত করার কাজে ব্যবহৃত হয়। প্যাক সাইজ ও উপলব্ধতা দেশভিত্তিকভাবে বদলাতে পারে; নিরাপদ ব্যবহারের জন্য লেবেল নির্দেশিকা দেখুন। এই লিস্টিং কেবল পণ্যের পরিচয় দেয় — Jafory এটি বিক্রি করে না। অ্যাফিলিয়েট লিংক ব্যবহারের আগে অফিসিয়াল বা অনুমোদিত বিক্রেতার পেজ যাচাই করুন।","سائل ديتول المطهر منتج متعدد الاستخدامات للنظافة يُستخدم عادة لتنظيف الجلد وتعقيم الأسطح المنزلية. قد تختلف أحجام العبوات ومدى التوفر حسب البلد؛ اتبع تعليمات الملصق للاستخدام الآمن. هذه الصفحة تعرض تعريفاً بالمنتج فقط — جافوري لا يبيع المنتج. تحقق من صفحة البائع الرسمي أو المعتمد قبل استخدام رابط تابع."
"dove-beauty-bar","Dove Beauty Bar","Dove Beauty Bar is a cleansing bar from Dove for everyday personal care. This Jafory guide notes the product name and category; specifications and merchant availability can vary by country. Jafory is a discovery site and does not sell the item — verify details on the official or authorised seller page before using an affiliate link.","Dove Beauty Bar হলো Dove ব্র্যান্ডের একটি পরিষ্কারক বাথ বার, সাধারণত দৈনন্দিন ব্যক্তিগত পরিচর্যার জন্য ব্যবহৃত। এই Jafory গবেষণা তালিকায় পণ্যের নাম ও শ্রেণি উল্লেখ করা হয়েছে; স্পেসিফিকেশন এবং বিক্রেতা পাওয়া দেশভেদে ভিন্ন হতে পারে। Jafory পণ্য বিক্রি করে না — অফিশিয়াল বা অনুমোদিত বিক্রেতার পৃষ্ঠা যাচাই করে অ্যাফিলিয়েট লিঙ্ক ব্যবহার করুন।","Dove Beauty Bar هو لوح تنظيف من Dove يُستخدم عادة للعناية الشخصية اليومية. تعرض قائمة البحث هذه من جافوري اسم المنتج وفئته؛ قد تختلف المواصفات وتوفر البائعين حسب البلد. جافوري موقع للتعرُّف على المنتجات ولا يبيعها — تأكد من صفحة البائع الرسمي أو المعتمد قبل استخدام رابط تابع."
"dove-nourishing-body-wash","Dove Deeply Nourishing Body Wash","Dove Deeply Nourishing Body Wash is a creamy body wash formulated for everyday cleansing with a focus on hydration. It creates a rich lather and is intended to leave skin feeling moisturised and comfortable after rinsing. Check the ingredient list for personal sensitivities and verify the official or authorised seller page before using any affiliate destination.","Dove Deeply Nourishing Body Wash একটি ক্রিমজাত বডি ওয়াশ, দৈনন্দিন পরিষ্কার-পরিচ্ছন্নতার সময় আর্দ্রতা বজায় রাখার ওপর গুরুত্ব দেয়। এটি ঘন ফেনা তৈরি করে এবং ধোয়ার পর ত্বককে নমনীয় ও আরামদায়ক রাখার উদ্দেশ্যে বানানো। উপাদান দেখে সংবেদনশীলতা যাচাই করুন এবং অ্যাফিলিয়েট লিংক ব্যবহারের আগে অফিসিয়াল বা অনুমোদিত বিক্রেতার পেইজ নিশ্চিত করুন।","Dove Deeply Nourishing Body Wash غسول للجسم بقوام كريمي مصمم للتنظيف اليومي مع تركيز على الترطيب. ينتج رغوة غنية ويهدف لأن يترك البشرة ناعمة ومريحة بعد الشطف. راجع قائمة المكونات للتحقق من أي حساسية، وتأكد من صفحة البائع الرسمية أو المعتمد قبل استخدام أي رابط تابع."
"dove-original-antiperspirant","Dove Original Antiperspirant","Dove Original Antiperspirant is an underarm antiperspirant deodorant from Dove designed to help control sweat and manage underarm odour during daily activities. Presented in the brand’s Original scent, it’s intended for routine personal care use. Product specifications, ingredients and availability may differ by country or retailer — verify the official or authorised seller page before using an affiliate destination.","Dove Original Antiperspirant হলো Dove-এর আন্ডারআর্ম অ্যান্টিপার্সপিরেন্ট যা দৈনন্দিন কাজে ঘাম নিয়ন্ত্রণ এবং বাহু-গন্ধ কমাতে ব্যবহৃত হয়। এটি ব্র্যান্ডের Original সুগন্ধে উপস্থাপিত এবং রুটিন পার্সোনাল কেয়ারের জন্য উপযুক্ত। পণ্যের স্পেসিফিকেশন, উপাদান ও উপলব্ধতা দেশ বা বিক্রেতা অনুযায়ী বদলাতে পারে — অ্যাফিলিয়েট লিংক ব্যবহারের আগে অফিসিয়াল বা অথরাইজড সেলার পেজ যাচাই করুন।","Dove Original Antiperspirant مزيل عرق من Dove مخصّص لمنطقة تحت الإبط للمساعدة في التحكم بالتعرق وتقليل رائحة الجسم خلال الأنشطة اليومية. يُعرض بنسخة العطر Original الخاصة بالعلامة ومناسب للاستخدام كجزء من العناية الشخصية الروتينية. قد تختلف مواصفات المنتج والمكونات والتوافر حسب الدولة أو البائع — تحقق من الصفحة الرسمية أو البائع المعتمد قبل استخدام رابط إحالة."
"dyson-v8-cordless-vacuum","Dyson V8 Cordless Vacuum","Dyson V8 Cordless Vacuum is a cordless stick vacuum from Dyson for cable-free cleaning around the home. This listing gives product identification and general information; specifications and availability can vary by country and retailer. Jafory does not sell this item — always check the official or authorised seller page before using any affiliate link.","Dyson V8 Cordless Vacuum হলো ডাইসনের একটি কর্ডলেস স্টিক ভ্যাকুয়াম, যা ঘরের বিভিন্ন জায়গা কেবল ছাড়াই পরিষ্কার করার সুবিধা দেয়। এই তালিকাটি পণ্যের সনাক্তকরণ এবং সাধারণ তথ্য প্রদান করে; স্পেসিফিকেশন ও স্টক দেশ ও বিক্রেতা অনুযায়ী পরিবর্তিত হতে পারে। Jafory এই পণ্য বিক্রি করে না — ক্রয় বা অ্যাফিলিয়েট লিংক ব্যবহারের আগে অফিসিয়াল বা অনুমোদিত বিক্রেতার পেজ যাচাই করুন।","Dyson V8 Cordless Vacuum هي مكنسة لاسلكية من Dyson بتصميم عصا لتسهيل التنقل والتنظيف داخل المنزل دون كابل. تقدم هذه القائمة تعريفًا عامًا بالمنتج؛ المواصفات والتوفر قد تختلف حسب البلد والبائع. جافوري لا يبيع هذا المنتج — تحقق من صفحة البائع الرسمي أو المعتمد قبل اتباع أي رابط تابع."
